name,address,suburb,state,postcode,type,places,rating,qa1,qa2,qa3,qa4,qa5,qa6,qa7,start_time,end_time,latitude,longitude
Young Achievers Early Learning Centre,23 Boundary Road,LIVERPOOL,NSW,2170,LDC,39,M,M,M,M,M,M,M,M,07:00,18:00,-33.93568834,150.91150257
Little Explorers Merrylands,113 John Street,MERRYLANDS,NSW,2160,LDC,49,W,W,W,W,M,W,M,W,07:00,18:00,-33.83814642,151.00196759
Young Preschool Kindergarten,35 Brock Street,YOUNG,NSW,2594,PKS,45,X,X,M,X,X,X,M,M,08:30,16:00,-34.30842173,148.30570892
Milestones Early Learning Young,58 Thornhill Street,YOUNG,NSW,2594,LDC,59,M,M,M,M,M,M,M,M,07:30,18:00,-34.31723676,148.28877179
Youngies Long Day Care Centre,12 De Meyrick Avenue,CASULA,NSW,2170,LDC,36,X,X,M,M,M,X,X,X,06:00,19:00,-33.94333616,150.90775921
Your Kids Our Kids Child Care Centre,6 Metcalfe Avenue,MOOREBANK,NSW,2170,LDC,29,M,M,M,M,M,M,X,M,07:00,18:00,-33.93685632,150.94825594
Your Kids Our Kids Early Learning Chipping Norton,13-15 Rugby Cres,CHIPPING NORTON,NSW,2170,LDC,44,M,M,M,M,M,M,M,M,07:00,19:00,-33.91863097,150.95598043
Yuluwirri Kids - Coonabarabran Preschool and Long Day Care,Cnr Bandulla Street and Newell Highway,COONABARABRAN,NSW,2357,LDC,57,M,M,M,M,M,M,M,M,07:30,17:30,-31.29603882,149.28924572
Noahs Ark Learning Academy Botany,8 Ramsgate Street,BOTANY,NSW,2019,LDC,33,M,M,M,M,M,M,M,M,07:00,17:30,-33.94585531,151.20064719
Edward Street Early Learning Centre,33 Edward Street,BOTANY,NSW,2019,LDC,45,M,M,M,M,M,M,X,X,07:00,17:30,-33.94501612,151.20017217
ZL Little Kids School,23 Gabriella Avenue,CECIL HILLS,NSW,2171,LDC,29,M,M,M,M,M,M,M,M,07:00,17:30,-33.89455994,150.85193594
Aeon Academy,"Yarralumla Pre School/Primary, 24 Loftus St",YARRALUMLA,ACT,2600,OSHC_A;OSHC_B;OSHC_V,99,X,M,M,X,X,X,X,M,07:45,18:00,-35.30723973,149.10257253
Ainslie Out of School Hours Care,"Ainslie Primary School, 33 Donaldson St",BRADDON,ACT,2612,OSHC_A;OSHC_B;OSHC_V,120,M,M,M,M,M,M,M,X,08:00,18:00,-35.27403546,149.13932547
YWCA Canberra Aranda School Age Care,"Aranda Primary School, 1 Banambila St",ARANDA,ACT,2614,OSHC_A;OSHC_B;OSHC_V;PKP,172,X,M,M,X,X,M,X,X,07:30,18:00,-35.25566894,149.08050781
Blue Gum Outside School Hours (BGOSH),U 1  114 Maitland St,HACKETT,ACT,2602,OSHC_A;OSHC_V,28,X,X,M,M,X,X,X,X,15:00,18:00,-35.24998919,149.16252418
Communities@Work Bonython Out of School Hours Care,"Bonython Primary School, 64 Hurtle Ave",BONYTHON,ACT,2905,OSHC_A;OSHC_B,59,M,M,X,X,M,X,M,M,07:30,18:00,-35.43147622,149.08239861
Burgmann Outside School Hours Care - Valley,"Burgmann Anglican School, 4 The Valley Ave",GUNGAHLIN,ACT,2912,OSHC_A;OSHC_V,192,W,W,M,M,M,M,M,M,08:00,18:00,-35.18794315,149.12327811
Burgmann Anglican School Pre-Kindergarten - Forde,"Burgmann Anglican School, 31 Francis Forde Bvd",FORDE,ACT,2914,LDC;PKP,25,X,M,M,X,X,X,X,X,08:00,18:00,-35.17088656,149.14302735
Burgmann Anglican School Pre-Kindergaren - Valley,"Burgmann Anglican School, 4 The Valley Ave",GUNGAHLIN,ACT,2912,LDC;PKP,30,X,M,M,X,X,X,X,X,08:00,18:00,-35.18794315,149.12327811
Burgmann Outside School Hours Care - Forde,"Burgmann Anglican School, 31 Francis Forde Bvd",FORDE,ACT,2914,OSHC_A,86,M,M,M,M,X,X,X,M,15:15,18:00,-35.17088656,149.14302735
Camp Australia - Calwell Primary School OSHC,"Calwell Primary School, 6 Dougharty Pl",CALWELL,ACT,2905,OSHC_A;OSHC_B;OSHC_V,55,M,M,M,M,M,M,M,M,07:00,18:00,-35.43896982,149.11036302
Campbell After School Activity Centre,"Campbell Pre School/Primary SC, 25 Chauvel St",CAMPBELL,ACT,2612,OSHC_A;OSHC_B;OSHC_V,126,X,M,X,M,X,X,X,M,07:30,18:00,-35.29074381,149.155585
Canberra Girls Grammar School Age Care,"Canberra Girls' Grammer School, 24 Grey St",DEAKIN,ACT,2600,OSHC_A;OSHC_V,99,W,M,W,M,M,X,W,M,08:00,18:00,-35.31238818,149.11071129
